epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,8728.29,0.68924,0.56892,1.05655,0.8665,0.77212,0.86593,0.71,0.65842,0.55928,0.98978,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8890.43,0.69913,0.57365,1.05409,0.87132,0.76525,0.86591,0.71076,0.65754,0.55832,0.99096,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9061.04,0.69626,0.57416,1.06124,0.86164,0.77105,0.86602,0.71107,0.65581,0.56158,0.99088,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9230.64,0.69474,0.56755,1.05523,0.86191,0.76997,0.86222,0.70724,0.6581,0.57135,0.99492,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9398.4,0.68421,0.56121,1.05196,0.86695,0.76847,0.8603,0.70625,0.66117,0.5727,0.99203,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9567.72,0.68817,0.56464,1.05469,0.87193,0.7646,0.8642,0.71145,0.65475,0.56315,0.9879,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9731.69,0.6829,0.56047,1.0554,0.86427,0.76721,0.86312,0.71169,0.64775,0.56403,0.98433,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9900.55,0.67708,0.55056,1.05002,0.86893,0.76589,0.86403,0.7125,0.6463,0.56104,0.98218,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10069.2,0.68046,0.54997,1.04822,0.86533,0.7704,0.8669,0.71613,0.6422,0.55594,0.9777,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10238.7,0.66437,0.53889,1.04074,0.863,0.78199,0.87205,0.71763,0.64801,0.54492,0.98147,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10408.1,0.67242,0.5482,1.04531,0.87406,0.77255,0.87059,0.71918,0.64415,0.54421,0.9814,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10569.5,0.66251,0.5362,1.04163,0.86823,0.76982,0.86949,0.71628,0.6423,0.54359,0.97794,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10739.4,0.66342,0.5345,1.04105,0.87642,0.77255,0.87386,0.71925,0.64314,0.54414,0.98106,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10908.3,0.66781,0.53164,1.03848,0.86015,0.78179,0.87131,0.71972,0.64309,0.54269,0.98117,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11076.4,0.66281,0.52673,1.04003,0.85603,0.78608,0.87152,0.71919,0.6445,0.54388,0.98147,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11244.9,0.65858,0.52643,1.03935,0.86239,0.78222,0.87266,0.7218,0.63935,0.54015,0.97882,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11416.8,0.65273,0.52256,1.03683,0.86638,0.77942,0.87026,0.71882,0.64179,0.5445,0.97876,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11581.5,0.65843,0.52608,1.03428,0.86508,0.77668,0.86837,0.71788,0.63835,0.54846,0.97633,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11741.3,0.64906,0.51393,1.03265,0.86391,0.78157,0.87154,0.7203,0.63624,0.5419,0.9756,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11910.6,0.65489,0.51774,1.03048,0.86743,0.78716,0.87125,0.71951,0.63714,0.54191,0.97694,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12080.3,0.64285,0.51048,1.02757,0.88106,0.77484,0.86894,0.7191,0.63433,0.54155,0.97488,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12250,0.64784,0.50531,1.02993,0.88272,0.77105,0.86797,0.72011,0.6347,0.53898,0.97635,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12418.4,0.64681,0.50685,1.02503,0.88088,0.77363,0.87127,0.72301,0.63451,0.53888,0.97535,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12582,0.64063,0.50468,1.02425,0.88739,0.77685,0.87244,0.72456,0.63149,0.53477,0.97431,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12747.9,0.64854,0.50365,1.02873,0.87785,0.77814,0.87125,0.72182,0.63115,0.53432,0.97369,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12917.2,0.63225,0.49438,1.02053,0.88157,0.77542,0.87261,0.72332,0.62913,0.53218,0.9717,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
